[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-200 Silver#,#1778
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Mountain-200 Black#,#1813
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-350-W Yellow#,#2687
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Long-Sleeve Logo Jersey#,#1730
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Black#,#794
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-3000 Blue#,#2178
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-200 Silver#,#2426
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-550-W Yellow#,#2198
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-400-W Silver#,#1527
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Black#,#1018
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-550-W Yellow#,#1255
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-400-W Silver#,#1604
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Women's Mountain Shorts#,#1613
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-150 Red#,#2565
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Red#,#2775
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-550-W Yellow#,#2344
[Date].[Calendar Date].[Calendar Year].&[2013]#,#ML Road Tire#,#1102
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-650 Black#,#2262
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Black#,#2554
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-200 Black#,#1528
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Touring-1000 Yellow#,#1246
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Classic Vest#,#641
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Long-Sleeve Logo Jersey#,#842
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Women's Mountain Shorts#,#1523
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain Tire Tube#,#945
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Touring-3000 Blue#,#992
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-250 Black#,#1223
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-2000 Blue#,#625
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-400-W Silver#,#2995
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Fender Set - Mountain#,#2498
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Long-Sleeve Logo Jersey#,#2320
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Classic Vest#,#768
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-500 Silver#,#2894
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-200 Silver#,#872
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Black#,#2279
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-400-W Silver#,#1765
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-500 Black#,#2430
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-550-W Yellow#,#513
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-100 Black#,#1728
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Short-Sleeve Classic Jersey#,#2504
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-550-W Yellow#,#910
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Red#,#1855
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Red#,#1336
[Date].[Calendar Date].[Calendar Year].&[2013]#,#HL Mountain Tire#,#523
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-550-W Yellow#,#2911
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Bike Wash - Dissolver#,#628
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Mountain-200 Black#,#2289
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Touring-3000 Blue#,#727
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Touring-1000 Blue#,#2658
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Red#,#1998
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-250 Black#,#1393
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-3000 Blue#,#761
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-550-W Yellow#,#1952
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Water Bottle - 30 oz.#,#1042
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Black#,#538
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-200 Black#,#529
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-200 Silver#,#2693
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-200 Silver#,#647
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-550-W Yellow#,#2226
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-100 Black#,#2709
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Long-Sleeve Logo Jersey#,#1028
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Fender Set - Mountain#,#2497
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Classic Vest#,#2288
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-100 Silver#,#2068
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-650 Red#,#2494
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-200 Silver#,#1736
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Road-650 Red#,#654
[Date].[Calendar Date].[Calendar Year].&[2013]#,#HL Mountain Tire#,#1120
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Road-150 Red#,#2723
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-550-W Yellow#,#2842
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-200 Silver#,#2591
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-250 Black#,#1510
[Date].[Calendar Date].[Calendar Year].&[2012]#,#ML Mountain Tire#,#1826
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Mountain-200 Silver#,#1148
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-650 Red#,#1736
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-500 Black#,#2132
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-650 Red#,#2730
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Touring-3000 Yellow#,#2360
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Classic Vest#,#2025
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-550-W Yellow#,#2728
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Short-Sleeve Classic Jersey#,#1399
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Touring Tire Tube#,#2718
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Short-Sleeve Classic Jersey#,#1370
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Touring-3000 Yellow#,#854
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Long-Sleeve Logo Jersey#,#2430
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Racing Socks#,#2215
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Short-Sleeve Classic Jersey#,#1216
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Mountain Bottle Cage#,#2639
[Date].[Calendar Date].[Calendar Year].&[2010]#,#HL Mountain Tire#,#1819
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-250 Red#,#1355
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Mountain-200 Silver#,#2465
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-150 Red#,#620
[Date].[Calendar Date].[Calendar Year].&[2010]#,#AWC Logo Cap#,#1002
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-250 Black#,#575
[Date].[Calendar Date].[Calendar Year].&[2011]#,#Mountain-500 Silver#,#1701
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Mountain-100 Silver#,#849
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Touring-3000 Yellow#,#1786
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Mountain-200 Silver#,#1839
[Date].[Calendar Date].[Calendar Year].&[2012]#,#Long-Sleeve Logo Jersey#,#2249
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-550-W Yellow#,#2760
[Date].[Calendar Date].[Calendar Year].&[2013]#,#Road-550-W Yellow#,#1822
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Hydration Pack - 70 oz.#,#2286
[Date].[Calendar Date].[Calendar Year].&[2010]#,#Road-350-W Yellow#,#1742
